values,Name,Germplasm.type,BloomDateJulian,BloomTimeGDD.new,Blush.Skin.Color,Bulked.fruit.Firmness,Bulked.fruit.SSC,Bulked.Fruit.Weight,Firmness,Flesh.Color,Free.Stone,Fruit.Length,Fruit.Shape,Fruit.Size,Fruit.Weight,Fruit.Width,HarvestDateJulian,HarvestTimeGDD.new,Mahogany.Skin.Color,Perc.Cracking,Perc.Pitting,PFRF,Pit.Length,Pit.Weight,Pit.Width,PM,SSC,Stem.Length,TA
additive,7146-16,cultivar & ancestor,-0.762783592,-1.626480861,-0.018951361,9.160940726,0.141617932,-0.372519372,6.745866363,-0.531138372,-0.01763847,1.542173739,-0.041043073,0.440356252,0.827275081,0.63498812,-3.438209648,-51.86252941,-0.434071552,2.19E-07,-0.084022519,67.74832933,0.567773464,0.003574892,-0.238159941,0.447904924,-0.312129186,-4.808376944,-0.021294754
additive,Ambrunes,cultivar & ancestor,-0.215738647,-1.842310926,0.298973648,42.26814,-0.193791536,-0.385004156,33.06120742,-1.073559422,-0.248088502,-0.16926643,-0.234822922,-0.046560628,-1.107266098,-0.305284722,6.484008457,105.2956758,0.019491575,1.17E-06,1.230078477,-98.37872137,0.506888205,0.033206111,0.347218794,-0.28296308,0.102807021,-1.659864929,0.047820431
additive,Benton,cultivar & ancestor,1.184386778,5.852719149,-0.014862687,-5.342423525,0.449309242,0.464212581,-4.552579335,-0.197031551,-0.221571651,0.383946169,-0.123043366,0.085329132,0.795141944,0.099837363,-4.184420661,-61.98133504,-0.184992485,-3.76E-06,1.835782327,89.89827821,0.291112244,0.003903576,-0.005217836,0.604218842,0.862467938,1.639010028,0.006983577
additive,Bing,cultivar & ancestor,-0.219424544,2.035196497,-0.006481853,1.343319086,0.198690791,0.045742539,8.845634482,0.178278064,0.101264848,0.057973772,-0.31964981,-0.031379893,0.111264476,-0.096631418,-1.427217137,-23.00326044,-0.268164096,1.73E-06,-0.210119478,18.51777315,0.055259969,-0.006129897,-0.140538308,0.712239836,0.236044678,1.830174026,-0.038939556
additive,Black Republican,cultivar & ancestor,-0.687532357,-3.100237687,0.03392832,19.49256657,-0.117317924,-1.033511427,0.096181055,0.42531584,0.046848846,-2.782163531,-0.075257914,-0.873379352,-1.319431961,-1.44816946,-1.327393332,-21.24365096,-0.106463121,-4.36E-06,0.639671872,-52.1643687,-0.717754675,-0.043865318,-0.244295962,0.296620142,-0.032462994,-2.624989793,-0.074143669
additive,Brooks,cultivar & ancestor,-0.587216917,-1.215735472,-0.121278059,-11.30966835,-0.171317081,0.393664939,-5.949424722,-0.264461018,0.069144339,0.146842685,0.026563098,0.401102605,0.682461551,1.846574625,-2.28602765,-33.51227133,0.094866382,3.52E-06,1.575431602,58.67951225,-0.36745689,-0.032684285,0.180004749,0.770836159,-0.403646637,-8.587968626,-0.04203759
additive,Cashmere,cultivar & ancestor,0.472971916,-0.054980488,0.012869831,6.997798957,0.26187721,0.019217932,4.226029569,1.567636284,-0.046744013,0.164774667,0.034237524,0.062105242,-0.302508416,0.206335367,-4.101674775,-61.07138216,0.439027232,-3.49E-06,1.049300404,102.1105149,0.087084028,-0.026175522,0.004529716,0.780338353,-0.566932176,-3.653439747,-0.01933596
additive,Chelan,cultivar & ancestor,-1.624673658,-5.084706442,0.059708477,12.26808678,0.113390965,-0.059469422,7.236158249,1.268212641,0.013401762,1.255813823,0.307060324,0.26822123,-0.662942876,0.11327303,-5.158659151,-76.65020112,0.541529572,-1.72E-06,-0.175137181,24.1972104,0.525581132,-0.007088228,-0.099802063,0.00902366,-0.180121988,-3.06949445,0.030279851
additive,Chinook,cultivar & ancestor,-1.516647194,-5.25068696,-0.02520717,-3.411570552,0.144640279,-0.810569731,-1.013338481,0.315964614,0.032776165,-0.768878151,-0.254943422,-0.4311629,-0.106679155,-1.182511538,-3.23246325,-49.11414054,-0.273540542,1.06E-06,0.900091912,33.16799362,0.006305241,-0.002093371,-0.099312782,0.455215672,-0.077169889,0.278606806,-0.126100264
additive,Cowiche,cultivar & ancestor,1.195217223,2.641985213,-0.008829995,24.19706653,0.455396587,0.999967121,30.23884164,0.178143402,-0.091495295,1.239388814,0.077459536,0.617054355,1.495049594,1.863705277,2.491079479,35.20429986,-0.006778521,2.21E-07,2.154182291,245.5560056,-0.045663261,0.034331257,0.455865628,-0.417050022,1.167222892,2.523415699,0.127593685
