values,Name,Germplasm.type,Perc.Pitting,Perc.Cracking,HarvestTimeGDD,BloomTimeGDD,HarvestTimeGDD.new,BloomTimeGDD.new,BloomDateJulian,HarvestDateJulian,PFRF,SSC,Bulked.fruit.SSC,TA,Fruit.Length,Fruit.Width,Fruit.Size,Fruit.Weight,Bulked.Fruit.Weight,Pit.Length,Pit.Width,Pit.Weight,Free.Stone,Mahogany.Skin.Color,Blush.Skin.Color,Flesh.Color,Fruit.Shape,Firmness,Bulked.fruit.Firmness,Stem.Length,pH,Spec.Skin.Color.L,Spect.Skin.Color.a,Spec.Skin.Color.b,Spec.Flesh.Color.L,Spectr.Flesh.Color.a,Spec.Flesh.Color.b,PM
phenotypic,7146-16,cultivar & ancestor,NA,NA,-65.95216525,1.04E-53,-27.67979777,NA,2.61E-54,-3.61125758,86.48846339,-0.162538342,NA,0.01794304,3.821486555,3.429607499,1.535063328,2.727845285,NA,1.57627718,0.021691549,0.088018162,0.212456196,-0.360834059,NA,-0.101701423,-0.318242098,31.43434788,50.73881735,-4.837269226,-0.088319328,NA,NA,NA,NA,NA,NA,2.31E-15
phenotypic,Ambrunes,cultivar & ancestor,-7.681296499,0.48160881,414.853063,-1.066055558,215.8239509,-1.251734644,-0.082186943,16.14285087,-130.4441568,-1.797474336,-1.300975207,-0.017476274,0.486766677,-0.560166684,-0.000428778,-1.390096707,-0.605306365,1.040158445,0.514962257,0.121740526,-0.078649955,-0.340660909,2.59E-59,-1.696871313,0.151499224,66.94644061,28.03135948,4.679635019,0.000771581,-0.274299754,0.345823096,-0.254045864,0.59047502,-0.29000819,0.3996724,1.285817665
phenotypic,Benton,cultivar & ancestor,NA,NA,-193.5276467,-7.977658053,-103.6646965,-2.472930481,-0.082186943,-6.608757157,91.94263187,-1.055963987,NA,0.03332304,2.54996865,2.885455132,1.143061806,2.192019522,2.584358708,0.984688921,0.067521247,0.057081078,-0.029376048,-0.033196418,NA,-0.054469904,-0.344538756,6.979318908,-7.413008198,2.319645322,NA,NA,NA,NA,NA,NA,NA,0.853737724
phenotypic,Bing,cultivar & ancestor,NA,0.503696207,-128.8557231,-18.40310997,-69.87213082,-4.667593859,-0.872049422,-3.817149012,107.401621,1.093771822,1.90420265,-0.00315658,0.787615102,0.009872534,0.172941415,0.846230371,1.902362442,0.378029427,-0.04616779,0.004683935,0.196687103,0.209592811,NA,0.779681053,-0.167382334,53.19307625,14.54334065,6.490795151,NA,NA,NA,NA,NA,NA,NA,1.285817665
phenotypic,Black Republican,cultivar & ancestor,-7.044098755,NA,7.542795504,-12.83435522,8.38408628,-3.348702352,-0.082186943,-0.130874545,-33.04279045,0.146581597,-0.708686053,-0.063369414,-3.419725141,-3.10252275,-1.372502624,-3.200323358,-2.487498574,-0.700928734,-0.371318439,-0.051743759,0.002918688,0.141667948,NA,0.779681053,-0.167382334,12.81638417,57.26817304,-2.5655488,NA,NA,NA,NA,NA,NA,NA,0.853737724
phenotypic,Cashmere,cultivar & ancestor,-4.430926237,-0.782228753,-178.0745233,1.669948341,-91.06969426,-0.470169296,0.707675536,-7.989505301,143.4434571,-0.76722052,1.511111045,-0.088669473,0.958796446,2.159212796,0.650376271,0.451169609,1.183180413,0.454238004,0.326002032,-0.013276158,-0.048767809,0.349277593,2.59E-59,1.540662844,-0.486263893,2.344559063,5.615191815,5.835164251,-0.007410237,-0.376117936,-0.511449631,-0.574954955,-0.457706798,-0.693644554,-0.745782146,1.285817665
phenotypic,Chelan,cultivar & ancestor,-4.508101529,-0.782228753,-327.7971629,-37.23203452,-174.3873616,-6.138804803,-3.549697275,-15.61024935,50.1992239,-1.891341906,-0.34428607,0.115341786,2.62786903,2.067080814,0.991160652,0.60224787,1.451233713,1.322275226,0.420482145,0.08152279,0.190289357,0.366105361,2.59E-59,1.305205814,0.505812066,14.72811143,14.77325006,-3.069451692,-0.028319328,-0.2497543,-0.002358722,-0.411318591,-0.497706798,0.185446355,-0.373054873,-1.738741918
phenotypic,Chinook,cultivar & ancestor,NA,NA,-234.2436213,-33.50721609,-125.1076521,-4.014100468,-1.096937183,-8.935097278,2.657707438,-1.391489051,-1.361908229,-0.202510703,-0.997046719,-2.370940706,-0.700387952,-0.297460751,-2.05635151,0.137808553,-0.268998305,-0.035621561,0.035213424,-0.437845133,NA,0.362605574,-0.202813619,-22.77654764,-32.54977057,-4.615774987,NA,NA,NA,NA,NA,NA,NA,1.285817665
phenotypic,Cowiche,cultivar & ancestor,-4.354605388,0.48160881,117.4068155,7.145892752,62.62861989,5.367667605,-0.370713772,4.711734787,631.8104433,2.344146001,-0.025389691,0.252703265,4.337048718,6.269488011,2.207843333,6.122899353,5.485216175,0.931658476,0.961427103,0.245266429,-0.078649955,0.231483214,2.59E-59,1.187477299,0.080636655,53.55634335,-10.89996761,9.935429266,-0.027410237,-0.554299754,-0.602358722,-0.563136773,-0.47952498,-0.121826372,-0.532145782,0.421657784
phenotypic,EmperorFrancis,cultivar & ancestor,NA,-0.266797283,7.542795504,-9.343725064,8.38408628,-2.654365286,0.075785553,-0.130874545,1.984113139,-0.955009543,-0.13711665,0.064140116,-0.0467143,-1.37717319,-0.291606806,-1.220681295,-1.405711395,0.015662346,-0.089369625,0.12560042,-0.110112887,4.17E-15,5.20E-07,-1.722771819,NA,3.073312827,36.65296243,1.188486046,NA,NA,NA,NA,NA,NA,NA,0.853737724
