values,Name,Germplasm.type,BloomDateJulian,BloomTimeGDD.new,Blush.Skin.Color,Bulked.fruit.Firmness,Bulked.fruit.SSC,Bulked.Fruit.Weight,Firmness,Flesh.Color,Free.Stone,Fruit.Length,Fruit.Shape,Fruit.Size,Fruit.Weight,Fruit.Width,HarvestDateJulian,HarvestTimeGDD.new,Mahogany.Skin.Color,Perc.Cracking,Perc.Pitting,PFRF,Pit.Length,Pit.Weight,Pit.Width,PM,SSC,Stem.Length,TA
genetic,7146-16,cultivar & ancestor,-3.242560854,-12.99169589,-0.018951458,44.22572688,-0.153068671,0.974616363,30.12058496,-0.281913834,0.141203354,4.263561273,-0.172115542,1.871134797,3.729413097,4.454889326,-4.206880591,-65.38274432,-0.609665078,-0.113125126,-6.305361662,131.6820841,1.639601906,0.121011445,0.169889427,0.551942299,-0.969342812,-4.858272649,-0.008555294
genetic,Ambrunes,cultivar & ancestor,-0.815742078,-2.753860431,0.298973978,31.18040552,-2.187621573,0.522843556,76.90040697,-1.74437059,-0.326304487,1.366983128,-0.054218955,0.580300765,-0.032546979,1.084623616,17.1502656,267.9499033,-0.503688339,0.636962405,-14.84990478,-138.2333301,1.531560386,0.173048568,0.9603522,1.191954089,-2.394719032,5.400544934,-0.009524887
genetic,Benton,cultivar & ancestor,-0.821437443,-4.560962049,-0.014862725,-3.981652234,0.460217701,3.466137994,14.73772428,0.077670093,-0.294076884,3.14116368,-0.173502243,1.62469099,4.133808575,4.447125405,-6.797433462,-100.2682907,-0.116647774,-0.109786356,8.996815291,152.5004765,1.034127997,0.090313089,0.618852454,0.848126364,0.568839975,1.971374362,0.014952562
genetic,Bing,cultivar & ancestor,-3.058470431,-13.22599158,-0.006481898,4.587974115,0.782138814,2.64955725,34.57124054,0.68820666,0.173495028,1.617814686,-0.533147705,0.786100123,2.191846448,2.094762712,-3.72563427,-55.730907,-0.147245907,0.01789236,-7.138008949,120.6120446,0.578548567,0.040039351,0.227947603,1.278424753,0.968565375,5.214233918,-0.020325798
genetic,Black Republican,cultivar & ancestor,-1.831883062,-12.27943414,0.033928312,52.21695009,-0.63324887,-0.817987183,14.45174913,0.865973034,0.060453467,-1.671960273,-0.14955462,-0.383687405,-0.977630236,-0.240761101,-0.549968875,-7.809417826,0.090272533,-0.062300596,-14.14552524,-14.81985422,-0.414726668,-0.001790677,-0.005751727,0.790894971,0.126616884,-1.864144775,-0.076825379
genetic,Brooks,cultivar & ancestor,-1.580929264,-7.443188845,-0.121278162,-10.61784557,-0.458755218,2.562839717,0.519068866,-0.313257504,0.071873674,2.113474508,-0.039161962,1.639914959,3.560830488,5.676475041,-1.709516459,-25.12966234,0.078271085,-0.114966076,-3.185949482,140.4501833,-0.095717882,0.010010698,0.508221941,0.854853539,-0.937486502,-9.114491569,-0.086892142
genetic,Cashmere,cultivar & ancestor,-0.400610308,-5.739859797,0.012869633,5.324997862,1.121639632,2.770653402,6.804504987,1.76944411,-0.072228623,2.562291889,-0.206233973,1.429729858,2.248262023,4.271667981,-7.395593255,-106.0153624,0.520333497,-0.519937336,-12.00831171,178.6180479,0.802879865,0.037289859,0.626649228,1.248565014,-1.338072461,4.01240011,-0.08733188
genetic,Chelan,cultivar & ancestor,-5.940327277,-23.57615738,0.059708398,15.35858166,0.022010685,2.343443006,19.90779421,1.448351491,0.171505757,3.910102704,0.644310377,1.621464088,1.866478772,3.672194699,-13.93123806,-188.378934,0.721967715,-0.295457238,-12.5494721,36.53586338,1.47477782,0.101792668,0.54175679,-1.251603637,-1.481651693,-2.770972051,0.098953462
genetic,Chinook,cultivar & ancestor,-4.386609308,-25.4534577,-0.025207279,-32.71608138,-1.321767053,-0.397534324,-18.29996977,0.601900967,0.065768288,0.42562255,-0.350283006,0.142954131,1.443778173,0.195438751,-8.334570871,-118.3245312,-0.571933261,0.200784761,-5.845323754,62.7270699,0.299430773,0.012129454,0.161199819,1.172143303,-1.418731251,-1.195230588,-0.205034142
genetic,Cowiche,cultivar & ancestor,0.974577439,-0.583619896,-0.00882984,-1.644269825,0.361511934,5.87010539,58.01908187,1.142197196,-0.105024263,4.883283649,0.103087088,2.625778407,6.786484189,7.57267673,5.257826727,74.43384323,0.202073712,0.066580067,-9.684210575,611.7921039,0.875524569,0.269939872,1.386171198,-0.009645978,1.836818202,7.127805347,0.221008958
genetic,Cristobalina,cultivar & ancestor,-5.75887662,-28.75885015,0.099535258,-14.49992158,-0.189523353,-2.43137431,-38.22162665,-0.50438772,-0.220187421,-5.220875874,-0.686589848,-1.82965856,-3.98213042,-3.736960392,-8.874879051,-127.2666519,-0.1012773,-0.162049225,23.94902669,-162.8249044,-0.949823306,-0.013287109,-0.260128564,-1.538853237,5.757787765,-4.281759566,-0.118095078
genetic,Dzherlo,cultivar & ancestor,-1.969015755,-9.028580379,-0.238974323,-33.28315688,0.133807814,1.355828246,-50.40232536,1.214131378,0.112043681,-0.603340324,-0.132640935,0.249599121,0.994767069,1.612361407,-4.332669211,-61.52824276,0.687317655,0.734131281,-8.748059076,-48.09204686,-0.740959072,-0.005655522,0.683229625,0.596550308,3.884592469,-6.011785155,-0.037308176
genetic,Early Burlat,cultivar & ancestor,-0.834830507,-4.466432513,-0.062208241,-49.47396741,-0.145899021,2.316943443,-28.40468171,0.73954891,-0.110862387,1.455081836,-0.1178896,0.909993602,2.399527663,2.84992158,-9.922400032,-137.6243949,0.289883297,-0.356395492,6.401421035,91.60515054,0.884288879,0.050315432,0.45517966,-0.028062016,0.191860229,0.255996227,-0.078202982
genetic,Emperor Francis,cultivar & ancestor,-1.214161389,-10.65678384,0.051112646,36.38392113,-0.32651141,0.518612647,7.512859739,-1.670853159,-0.112187412,1.56337038,0.122581295,0.621762041,0.535220776,1.27465001,-0.119223447,-5.948069626,-0.255648415,-0.119009882,-1.800378329,44.8040843,0.288109793,0.166450571,0.342724232,0.80046879,-0.809418493,2.064225498,0.050700214
genetic,Gil-Peck,cultivar & ancestor,-1.437318852,-17.29659407,0.02519324,-5.916411964,-0.279698232,-0.381734313,-25.29091394,0.44414481,-0.130206565,0.454694067,-0.160107083,0.307722146,1.198666512,0.7504939,-3.999539651,-61.94014814,-0.557015924,0.047159061,-11.57901746,16.17263813,-0.120547086,0.006852348,0.089683366,1.369195069,-1.994849473,-3.353186906,-0.090334743
genetic,Glacier,cultivar & ancestor,0.09830888,-4.164476354,0.001117774,-71.62187841,-0.562057072,6.316425652,-4.806024618,1.134984647,0.004689524,6.954231287,0.075701153,2.982247815,6.995605317,7.242370236,-9.521679814,-134.4121777,0.06558957,-0.153381422,-16.06026577,120.8235438,1.859160322,0.197060843,0.999526394,1.146857704,-2.036091683,7.153921303,-0.011802635
